time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
2.186,3.47878,-3.25846,2.5207,3.4534,-3.24281,2.54124,3.45144,-3.24143,2.54124,3.45339,-3.2428,2.54124,0.0298185,0.020544,0.0322144,0.020544,0.0298336,0.020544
2.237,3.47847,-3.258,2.5215,3.45115,-3.24127,2.54124,3.44911,-3.23984,2.54124,3.45114,-3.24126,2.54124,0.0320302,0.019744,0.0345184,0.019744,0.0320456,0.019744
2.267,3.4757,-3.256,2.5209,3.45019,-3.24061,2.54124,3.44812,-3.23916,2.54124,3.45018,-3.2406,2.54124,0.0297901,0.020344,0.0323176,0.020344,0.0298058,0.020344
2.287,3.47491,-3.2557,2.52,3.44816,-3.23922,2.54124,3.44602,-3.23772,2.54124,3.44815,-3.23921,2.54124,0.0314125,0.021244,0.0340264,0.021244,0.0314285,0.021244
2.328,3.47209,-3.25449,2.5179,3.44704,-3.23845,2.54124,3.44486,-3.23692,2.54124,3.44703,-3.23844,2.54124,0.0297449,0.023344,0.0324087,0.023344,0.0297611,0.023344
2.338,3.47165,-3.25409,2.5185,3.44667,-3.2382,2.54124,3.44447,-3.23666,2.54124,3.44665,-3.23819,2.54124,0.0296114,0.022744,0.0322909,0.022744,0.0296277,0.022744
2.348,3.46996,-3.25175,2.5219,3.44314,-3.23578,2.54124,3.44082,-3.23416,2.54124,3.44313,-3.23577,2.54124,0.0312154,0.019344,0.0340409,0.019344,0.0312323,0.019344
2.419,3.46567,-3.24947,2.5192,3.44074,-3.23414,2.54124,3.43833,-3.23246,2.54124,3.44073,-3.23413,2.54124,0.0292589,0.022044,0.0321954,0.022044,0.0292763,0.022044
2.47,3.46262,-3.24794,2.5174,3.43787,-3.23217,2.54124,3.43535,-3.23041,2.54124,3.43785,-3.23216,2.54124,0.029349,0.023844,0.0324203,0.023844,0.0293669,0.023844
2.51,3.46232,-3.24747,2.5185,3.43771,-3.23206,2.54124,3.43518,-3.2303,2.54124,3.43769,-3.23205,2.54124,0.0290409,0.022744,0.0321188,0.022744,0.0290589,0.022744
2.53,3.46045,-3.2449,2.522,3.43531,-3.23042,2.54124,3.43269,-3.2286,2.54124,3.4353,-3.23041,2.54124,0.0290071,0.019244,0.0321909,0.019244,0.0290255,0.019244
2.581,3.45988,-3.24441,2.522,3.43351,-3.22919,2.54124,3.43081,-3.22731,2.54124,3.43349,-3.22918,2.54124,0.0304566,0.019244,0.0337271,0.019244,0.0304754,0.019244
2.601,3.45687,-3.24312,2.5205,3.43234,-3.22839,2.54124,3.4296,-3.22648,2.54124,3.43232,-3.22837,2.54124,0.02862,0.020744,0.0319508,0.020744,0.0286391,0.020744
2.632,3.45373,-3.24164,2.5189,3.42947,-3.22642,2.54124,3.42661,-3.22443,2.54124,3.42945,-3.22641,2.54124,0.0286447,0.022344,0.0321178,0.022344,0.0286643,0.022344
2.683,3.45112,-3.23874,2.5194,3.42676,-3.22457,2.54124,3.42379,-3.2225,2.54124,3.42674,-3.22455,2.54124,0.0281854,0.021844,0.0317853,0.021844,0.0282055,0.021844
