time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
271.768,2.7692,1.40478,0.2802,2.57477,1.58759,6.57337,2.30107,1.1721,6.65709,2.57599,1.58119,6.5881,0.266876,0.00998608,0.522767,0.0937063,0.261632,0.0247176
271.789,2.77019,1.40563,0.2646,2.57795,1.58853,6.55785,2.30419,1.17331,6.64157,2.57917,1.58218,6.57258,0.265342,0.0100641,0.5207,0.0937843,0.260111,0.0247956
271.829,2.7714,1.4064,0.2497,2.58172,1.58957,6.53954,2.3079,1.17469,6.62326,2.58294,1.58328,6.55427,0.263679,0.00665607,0.518188,0.0903763,0.258461,0.0213876
271.86,2.77295,1.40657,0.2408,2.58255,1.58979,6.53556,2.30872,1.17497,6.61928,2.58376,1.58351,6.55029,0.26424,0.0115761,0.518797,0.0952963,0.259038,0.0263076
271.89,2.77408,1.40641,0.2361,2.58568,1.59058,6.52044,2.3118,1.17604,6.60416,2.58689,1.58435,6.53517,0.263466,0.00115203,0.5165,0.0848722,0.258268,0.0158836
271.91,2.77571,1.40639,0.2253,2.58708,1.59092,6.51367,2.31319,1.1765,6.59739,2.5883,1.58471,6.5284,0.263881,0.00518604,0.516502,0.0889063,0.258696,0.0199176
271.931,2.77712,1.40691,0.2114,2.58981,1.59156,6.50054,2.31589,1.17737,6.58426,2.59103,1.58539,6.51527,0.263019,0.00595205,0.515185,0.0896723,0.257849,0.0206836
271.958,2.77815,1.40732,0.2028,2.59089,1.59179,6.49536,2.31696,1.1777,6.57908,2.59211,1.58565,6.51009,0.262862,0.00937804,0.515189,0.0930983,0.257705,0.0241096
271.982,2.77991,1.40791,0.1901,2.59396,1.59245,6.48064,2.32001,1.17862,6.56436,2.59518,1.58635,6.49537,0.26197,0.00735207,0.513891,0.0910723,0.256831,0.0220836
272.033,2.78154,1.4086,0.1759,2.59605,1.59286,6.47069,2.32207,1.17922,6.55441,2.59727,1.58679,6.48542,0.261459,0.011602,0.513541,0.0953222,0.25634,0.0263336
272.053,2.78246,1.40898,0.1659,2.59621,1.59289,6.46989,2.32224,1.17926,6.55361,2.59743,1.58683,6.48462,0.261749,0.0208061,0.514372,0.104526,0.256641,0.0355376
272.104,2.78497,1.40871,0.1432,2.60105,1.59378,6.44681,2.32705,1.18057,6.53053,2.60228,1.58779,6.46154,0.260913,0.0204221,0.511598,0.104142,0.255821,0.0351536
272.19,2.78817,1.40943,0.1219,2.60265,1.58399,6.34922,2.33333,1.18257,6.5003,2.6043,1.56614,6.3006,0.254736,0.0558615,0.508272,0.0952185,0.241597,0.104484
272.206,2.7906,1.4097,0.103,2.60647,1.58423,6.33131,2.33712,1.18339,6.48239,2.60814,1.56619,6.28269,0.2537,0.0548715,0.50682,0.0962085,0.240374,0.103494
272.246,2.79211,1.41008,0.09,2.60783,1.58429,6.32495,2.33847,1.18366,6.47603,2.60951,1.56619,6.27632,0.253594,0.0482395,0.507013,0.10284,0.240236,0.0968621
272.267,2.79349,1.41042,0.0782,2.61105,1.58441,6.30982,2.34167,1.18427,6.4609,2.61275,1.56616,6.2612,0.252105,0.0515635,0.505254,0.0995165,0.238575,0.100186
272.307,2.79422,1.41041,0.0724,2.6136,1.58447,6.29788,2.34422,1.18472,6.44896,2.61531,1.56609,6.24926,0.250844,0.0577035,0.503428,0.0933765,0.237157,0.106326
272.338,2.79619,1.41041,0.0473,2.61835,1.58452,6.27559,2.34897,1.18549,6.42667,2.62009,1.5659,6.22697,0.248879,0.0548915,0.500593,0.0961885,0.234924,0.103514
272.389,2.79776,1.41073,0.0344,2.6197,1.58451,6.26923,2.35033,1.18569,6.42031,2.62145,1.56583,6.2206,0.248803,0.0483595,0.500832,0.102721,0.234819,0.0969821
272.422,2.79998,1.41076,0.0243,2.62299,1.58911,6.27581,2.35326,1.18738,6.40694,2.62521,1.57499,6.26727,0.251261,0.0316739,0.499452,0.0994562,0.239822,0.0402153
272.439,2.80231,1.41072,0.0126,2.62589,1.58908,6.26228,2.35616,1.18773,6.39341,2.62811,1.57493,6.25374,0.250875,0.0335059,0.498773,0.0976243,0.239396,0.0420473
272.462,2.8035,1.41096,0.003,2.62682,1.58906,6.2579,2.35711,1.18783,6.38903,2.62905,1.5749,6.24936,0.250867,0.0282838,0.499057,0.102846,0.239391,0.0368253
272.49,2.80463,1.41143,-0.0114,2.63048,1.58895,6.24079,2.36078,1.18821,6.37192,2.63273,1.57476,6.23225,0.248685,0.0309978,0.496818,0.100132,0.237126,0.0395393
272.531,2.80643,1.41096,-0.0304,2.63472,1.58875,6.22089,2.36507,1.18857,6.35202,2.63699,1.57453,6.21235,0.24717,0.0318979,0.494224,0.0992322,0.235503,0.0404394
272.592,2.80928,1.41095,-0.048,2.63845,1.5885,6.20338,2.36885,1.18881,6.33451,2.64074,1.57424,6.19483,0.246388,0.0318099,0.493278,0.0993203,0.23467,0.0403513
272.622,2.81024,1.41127,-0.0567,2.63989,1.58838,6.19661,2.37031,1.18888,6.32774,2.64218,1.57411,6.18807,0.245746,0.0298759,0.492949,0.101254,0.234013,0.0384173
272.654,2.81123,1.41138,-0.066,2.6328,1.58721,6.12153,2.37246,1.19015,6.31647,2.63867,1.57236,6.0983,0.2505,0.095653,0.491384,0.0992866,0.235985,0.118888
272.663,2.8129,1.41117,-0.08,2.63406,1.587,6.11556,2.37375,1.19019,6.3105,2.63993,1.57212,6.09233,0.250796,0.087623,0.491615,0.107317,0.236267,0.110858
272.683,2.81468,1.41101,-0.0933,2.63725,1.58645,6.10044,2.37702,1.19027,6.29538,2.64312,1.57149,6.0772,0.249516,0.089447,0.490176,0.105493,0.234913,0.112682
272.711,2.81595,1.41102,-0.1028,2.63851,1.58622,6.09447,2.37831,1.19029,6.28941,2.64438,1.57123,6.07123,0.249356,0.085917,0.490156,0.109023,0.234739,0.109152
272.734,2.81734,1.41083,-0.1127,2.64126,1.58569,6.08133,2.38114,1.1903,6.27627,2.64713,1.57063,6.0581,0.248149,0.089151,0.48877,0.105789,0.233465,0.112386
272.775,2.81892,1.41071,-0.1263,2.64359,1.5852,6.07019,2.38355,1.19027,6.26513,2.64947,1.57009,6.04696,0.247363,0.086695,0.487992,0.108245,0.232634,0.10993
272.795,2.82056,1.4107,-0.14,2.64667,1.58453,6.05546,2.38673,1.19021,6.2504,2.65254,1.56934,6.03223,0.245876,0.087721,0.486644,0.107219,0.231082,0.110956
272.824,2.82107,1.41064,-0.1438,2.64741,1.58436,6.05188,2.38751,1.19018,6.24682,2.65328,1.56915,6.02865,0.245629,0.087503,0.486391,0.107437,0.23082,0.110738
272.836,2.82255,1.41025,-0.1521,2.65039,1.58365,6.03755,2.3906,1.19007,6.23249,2.65626,1.56838,6.01432,0.244355,0.093531,0.484828,0.101409,0.229475,0.116766
272.888,2.82392,1.40983,-0.1629,2.65699,1.57842,6.02656,2.39347,1.18986,6.22017,2.66145,1.56443,6.00378,0.237248,0.0937239,0.4834,0.0998803,0.224272,0.116503
272.907,2.82517,1.40991,-0.1776,2.65921,1.57783,6.01582,2.39578,1.18971,6.20942,2.66366,1.56379,5.99304,0.236088,0.0897699,0.482557,0.103834,0.223073,0.112549
272.938,2.82637,1.40992,-0.189,2.66167,1.57715,6.00388,2.39836,1.18951,6.19748,2.66612,1.56305,5.9811,0.23471,0.0903099,0.48143,0.103294,0.221646,0.113089
272.968,2.82731,1.40957,-0.1941,2.6629,1.57679,5.99791,2.39964,1.1894,6.19151,2.66735,1.56267,5.97513,0.234511,0.0911799,0.481015,0.102424,0.221423,0.113959
272.972,2.82788,1.40932,-0.197,2.66331,1.57668,5.99592,2.40007,1.18936,6.18952,2.66775,1.56254,5.97314,0.234718,0.0902698,0.481043,0.103334,0.221623,0.113049
272.989,2.82985,1.40882,-0.2099,2.66665,1.57568,5.9796,2.40358,1.18902,6.1732,2.67109,1.56145,5.95682,0.233398,0.0936879,0.479601,0.0999163,0.220236,0.116467
273.04,2.83153,1.40883,-0.2242,2.66844,1.57511,5.97084,2.40546,1.18881,6.16445,2.67287,1.56085,5.94806,0.23291,0.0881439,0.479527,0.10546,0.219732,0.110923
273.06,2.83272,1.40866,-0.2353,2.66909,1.5749,5.96766,2.40614,1.18873,6.16126,2.67351,1.56062,5.94488,0.233268,0.0802279,0.479936,0.113376,0.220093,0.103007
273.121,2.83538,1.40773,-0.2582,2.67822,1.56982,5.94044,2.41275,1.188,6.13117,2.68164,1.5565,5.9222,0.225772,0.0845426,0.476334,0.106189,0.213941,0.102784
273.151,2.83688,1.40781,-0.2719,2.67991,1.56921,5.93208,2.41453,1.18773,6.12282,2.68332,1.55586,5.91384,0.225149,0.0792006,0.476252,0.111531,0.21331,0.0974425
273.172,2.83818,1.40742,-0.2825,2.68214,1.56839,5.92094,2.41691,1.18734,6.11167,2.68555,1.555,5.9027,0.224184,0.0797446,0.475293,0.110987,0.212307,0.0979864
273.202,2.8397,1.40663,-0.2931,2.68548,1.56711,5.90422,2.42047,1.18671,6.09496,2.68888,1.55365,5.88598,0.222576,0.0858606,0.473416,0.104871,0.210629,0.104102
273.243,2.84148,1.40628,-0.3067,2.68667,1.56664,5.89825,2.42174,1.18647,6.08899,2.69006,1.55315,5.88001,0.222899,0.0782305,0.473817,0.112501,0.210954,0.0964724
273.263,2.84294,1.40622,-0.3194,2.68958,1.56545,5.88353,2.42486,1.18584,6.07426,2.69296,1.5519,5.86529,0.221068,0.0802566,0.472614,0.110475,0.209082,0.0984984
